drug,year,age,gender,geography,prevalens pr 1000,ddd
ADHD-midler,2004,80,F,Helseregion Nord-Norge,0,0
ADHD-midler,2004,80,F,Helseregion Sør-Øst,0.138,1533
ADHD-midler,2004,80,F,Helseregion Vest,0,0
ADHD-midler,2004,80,M,Hele landet,0.255,3186.667
ADHD-midler,2004,80,M,Helseregion Midt-Norge,,
ADHD-midler,2004,80,M,Helseregion Nord-Norge,0,0
ADHD-midler,2004,80,M,Helseregion Sør-Øst,0.265,1696.667
ADHD-midler,2004,80,M,Helseregion Vest,,
ADHD-midler,2004,85,F,Hele landet,,
ADHD-midler,2004,85,F,Helseregion Midt-Norge,0,0
ADHD-midler,2004,85,F,Helseregion Nord-Norge,0,0
ADHD-midler,2004,85,F,Helseregion Sør-Øst,0,0
ADHD-midler,2004,85,F,Helseregion Vest,,
ADHD-midler,2004,85,M,Hele landet,0.229,1560
ADHD-midler,2004,85,M,Helseregion Midt-Norge,0,0
ADHD-midler,2004,85,M,Helseregion Nord-Norge,0,0
ADHD-midler,2004,85,M,Helseregion Sør-Øst,,
ADHD-midler,2004,85,M,Helseregion Vest,,
ADHD-midler,2004,90,F,Hele landet,,
ADHD-midler,2004,90,F,Helseregion Midt-Norge,0,0
ADHD-midler,2004,90,F,Helseregion Nord-Norge,0,0
ADHD-midler,2004,90,F,Helseregion Sør-Øst,,
ADHD-midler,2004,90,F,Helseregion Vest,0,0
ADHD-midler,2004,90,M,Hele landet,0,0
ADHD-midler,2004,90,M,Helseregion Midt-Norge,0,0
ADHD-midler,2004,90,M,Helseregion Nord-Norge,0,0
ADHD-midler,2004,90,M,Helseregion Sør-Øst,0,0
ADHD-midler,2004,90,M,Helseregion Vest,0,0
ADHD-midler,2005,Alle,F,Hele landet,1.853,1521734.500
ADHD-midler,2005,Alle,F,Helseregion Midt-Norge,1.721,173267.141
ADHD-midler,2005,Alle,F,Helseregion Nord-Norge,2.033,138909.953
ADHD-midler,2005,Alle,F,Helseregion Sør-Øst,2.017,980931.062
ADHD-midler,2005,Alle,F,Helseregion Vest,1.409,228626.422
ADHD-midler,2005,Alle,M,Hele landet,5.347,4696479
ADHD-midler,2005,Alle,M,Helseregion Midt-Norge,5.211,592070.375
ADHD-midler,2005,Alle,M,Helseregion Nord-Norge,5.599,455039.500
ADHD-midler,2005,Alle,M,Helseregion Sør-Øst,5.673,2860834.750
ADHD-midler,2005,Alle,M,Helseregion Vest,4.450,788534.562
ADHD-midler,2005,0,F,Hele landet,,
ADHD-midler,2005,0,F,Helseregion Midt-Norge,,
ADHD-midler,2005,0,F,Helseregion Nord-Norge,0,0
ADHD-midler,2005,0,F,Helseregion Sør-Øst,,
ADHD-midler,2005,0,F,Helseregion Vest,0,0
ADHD-midler,2005,0,M,Hele landet,0.175,3345.833
ADHD-midler,2005,0,M,Helseregion Midt-Norge,,
ADHD-midler,2005,0,M,Helseregion Nord-Norge,0,0
ADHD-midler,2005,0,M,Helseregion Sør-Øst,0.250,2720.033
ADHD-midler,2005,0,M,Helseregion Vest,,
ADHD-midler,2005,5,F,Hele landet,2.896,122174.750
ADHD-midler,2005,5,F,Helseregion Midt-Norge,3.173,15480.399
ADHD-midler,2005,5,F,Helseregion Nord-Norge,3.453,13773.011
ADHD-midler,2005,5,F,Helseregion Sør-Øst,2.962,72104.680
ADHD-midler,2005,5,F,Helseregion Vest,2.312,20816.658
ADHD-midler,2005,5,M,Hele landet,11.066,539306.688
ADHD-midler,2005,5,M,Helseregion Midt-Norge,10.288,63893.594
ADHD-midler,2005,5,M,Helseregion Nord-Norge,13.089,59516.695
ADHD-midler,2005,5,M,Helseregion Sør-Øst,11.301,308942.906
ADHD-midler,2005,5,M,Helseregion Vest,10.075,106953.523
ADHD-midler,2005,10,F,Hele landet,7.504,404283.562
ADHD-midler,2005,10,F,Helseregion Midt-Norge,6.309,43634.617
ADHD-midler,2005,10,F,Helseregion Nord-Norge,10.594,50704.762
ADHD-midler,2005,10,F,Helseregion Sør-Øst,7.926,244565.750
ADHD-midler,2005,10,F,Helseregion Vest,5.815,65378.418
ADHD-midler,2005,10,M,Hele landet,29.051,1896933
ADHD-midler,2005,10,M,Helseregion Midt-Norge,28.215,231593.266
ADHD-midler,2005,10,M,Helseregion Nord-Norge,31.978,197335.094
ADHD-midler,2005,10,M,Helseregion Sør-Øst,30.815,1126576.500
ADHD-midler,2005,10,M,Helseregion Vest,23.971,341428.062
ADHD-midler,2005,15,F,Hele landet,7.787,389192.344
ADHD-midler,2005,15,F,Helseregion Midt-Norge,6.630,38024.395
ADHD-midler,2005,15,F,Helseregion Nord-Norge,8.825,37229.945
ADHD-midler,2005,15,F,Helseregion Sør-Øst,8.973,256363.234
ADHD-midler,2005,15,F,Helseregion Vest,5.194,57574.758
ADHD-midler,2005,15,M,Hele landet,19.512,1181523
ADHD-midler,2005,15,M,Helseregion Midt-Norge,18.067,140624.719
ADHD-midler,2005,15,M,Helseregion Nord-Norge,19.650,115048.508
ADHD-midler,2005,15,M,Helseregion Sør-Øst,21.948,728883
ADHD-midler,2005,15,M,Helseregion Vest,14.573,196966.734
ADHD-midler,2005,20,F,Hele landet,2.509,102906.656
ADHD-midler,2005,20,F,Helseregion Midt-Norge,3.248,17587.600
ADHD-midler,2005,20,F,Helseregion Nord-Norge,2.266,8308.917
ADHD-midler,2005,20,F,Helseregion Sør-Øst,2.670,60277.977
ADHD-midler,2005,20,F,Helseregion Vest,1.742,16732.166
ADHD-midler,2005,20,M,Hele landet,5.862,267518.312
ADHD-midler,2005,20,M,Helseregion Midt-Norge,6.135,40100.938
ADHD-midler,2005,20,M,Helseregion Nord-Norge,5.123,21820.896
ADHD-midler,2005,20,M,Helseregion Sør-Øst,6.800,172131.969
ADHD-midler,2005,20,M,Helseregion Vest,3.793,33464.512
ADHD-midler,2005,25,F,Hele landet,1.774,83871.047
ADHD-midler,2005,25,F,Helseregion Midt-Norge,1.629,11869.333
ADHD-midler,2005,25,F,Helseregion Nord-Norge,1.824,6550.976
ADHD-midler,2005,25,F,Helseregion Sør-Øst,1.943,51110.695
ADHD-midler,2005,25,F,Helseregion Vest,1.391,14340.040
ADHD-midler,2005,25,M,Hele landet,3.729,187276.375
ADHD-midler,2005,25,M,Helseregion Midt-Norge,3.677,26342.221
ADHD-midler,2005,25,M,Helseregion Nord-Norge,3.320,13168.875
ADHD-midler,2005,25,M,Helseregion Sør-Øst,3.930,108365.867
ADHD-midler,2005,25,M,Helseregion Vest,3.432,39399.422
ADHD-midler,2005,30,F,Hele landet,1.443,86627.555
ADHD-midler,2005,30,F,Helseregion Midt-Norge,1.770,14564.351
ADHD-midler,2005,30,F,Helseregion Nord-Norge,0.912,3984.667
ADHD-midler,2005,30,F,Helseregion Sør-Øst,1.583,53238.375
ADHD-midler,2005,30,F,Helseregion Vest,1.079,14840.166
ADHD-midler,2005,30,M,Hele landet,2.633,172198.750
ADHD-midler,2005,30,M,Helseregion Midt-Norge,3.476,30231.545
ADHD-midler,2005,30,M,Helseregion Nord-Norge,2.323,15810.041
ADHD-midler,2005,30,M,Helseregion Sør-Øst,2.704,102056.711
ADHD-midler,2005,30,M,Helseregion Vest,2.040,24100.449
ADHD-midler,2005,35,F,Hele landet,1.528,106899.773
ADHD-midler,2005,35,F,Helseregion Midt-Norge,1.459,13148.333
ADHD-midler,2005,35,F,Helseregion Nord-Norge,1.183,6038.500
ADHD-midler,2005,35,F,Helseregion Sør-Øst,1.773,73438.148
ADHD-midler,2005,35,F,Helseregion Vest,1.048,14274.797
ADHD-midler,2005,35,M,Hele landet,2.153,153179.375
ADHD-midler,2005,35,M,Helseregion Midt-Norge,1.871,20713.797
ADHD-midler,2005,35,M,Helseregion Nord-Norge,1.890,11313.530
ADHD-midler,2005,35,M,Helseregion Sør-Øst,2.449,102635.781
ADHD-midler,2005,35,M,Helseregion Vest,1.637,18516.275
ADHD-midler,2005,40,F,Hele landet,1.221,90481.203
ADHD-midler,2005,40,F,Helseregion Midt-Norge,0.880,5648.767
ADHD-midler,2005,40,F,Helseregion Nord-Norge,0.865,7372.265
ADHD-midler,2005,40,F,Helseregion Sør-Øst,1.446,62808.168
ADHD-midler,2005,40,F,Helseregion Vest,0.979,14652
ADHD-midler,2005,40,M,Hele landet,1.526,113494.555
ADHD-midler,2005,40,M,Helseregion Midt-Norge,1.427,18261.463
ADHD-midler,2005,40,M,Helseregion Nord-Norge,1.013,8038.517
ADHD-midler,2005,40,M,Helseregion Sør-Øst,1.962,76416.773
ADHD-midler,2005,40,M,Helseregion Vest,0.632,10777.800
ADHD-midler,2005,45,F,Hele landet,0.784,53770.918
ADHD-midler,2005,45,F,Helseregion Midt-Norge,0.416,4746.670
ADHD-midler,2005,45,F,Helseregion Nord-Norge,0.653,3476.250
ADHD-midler,2005,45,F,Helseregion Sør-Øst,1.059,43172.500
ADHD-midler,2005,45,F,Helseregion Vest,0.320,2375.500
ADHD-midler,2005,45,M,Hele landet,1.068,88566.508
ADHD-midler,2005,45,M,Helseregion Midt-Norge,1.062,10756.875
ADHD-midler,2005,45,M,Helseregion Nord-Norge,0.495,5855.333
ADHD-midler,2005,45,M,Helseregion Sør-Øst,1.405,65799
ADHD-midler,2005,45,M,Helseregion Vest,0.427,6155.300
ADHD-midler,2005,50,F,Hele landet,0.504,32442.262
ADHD-midler,2005,50,F,Helseregion Midt-Norge,0.329,2492.667
ADHD-midler,2005,50,F,Helseregion Nord-Norge,,
ADHD-midler,2005,50,F,Helseregion Sør-Øst,0.661,25564.096
ADHD-midler,2005,50,F,Helseregion Vest,0.375,3918.833
ADHD-midler,2005,50,M,Hele landet,0.632,39975.082
ADHD-midler,2005,50,M,Helseregion Midt-Norge,0.451,2675.333
ADHD-midler,2005,50,M,Helseregion Nord-Norge,0.615,4085.333
ADHD-midler,2005,50,M,Helseregion Sør-Øst,0.786,28122.248
ADHD-midler,2005,50,M,Helseregion Vest,0.353,5092.167
ADHD-midler,2005,55,F,Hele landet,0.209,11588.250
ADHD-midler,2005,55,F,Helseregion Midt-Norge,,
ADHD-midler,2005,55,F,Helseregion Nord-Norge,,
ADHD-midler,2005,55,F,Helseregion Sør-Øst,0.295,9402.583
ADHD-midler,2005,55,F,Helseregion Vest,,
ADHD-midler,2005,55,M,Hele landet,0.293,22993.707
ADHD-midler,2005,55,M,Helseregion Midt-Norge,,
ADHD-midler,2005,55,M,Helseregion Nord-Norge,,
ADHD-midler,2005,55,M,Helseregion Sør-Øst,0.408,18570.875
ADHD-midler,2005,55,M,Helseregion Vest,0.168,2876
ADHD-midler,2005,60,F,Hele landet,0.201,12136.666
ADHD-midler,2005,60,F,Helseregion Midt-Norge,,
ADHD-midler,2005,60,F,Helseregion Nord-Norge,0,0
ADHD-midler,2005,60,F,Helseregion Sør-Øst,0.293,10880.666
ADHD-midler,2005,60,F,Helseregion Vest,,
ADHD-midler,2005,60,M,Hele landet,0.216,9579.333
ADHD-midler,2005,60,M,Helseregion Midt-Norge,0.398,3366.667
ADHD-midler,2005,60,M,Helseregion Nord-Norge,,
ADHD-midler,2005,60,M,Helseregion Sør-Øst,0.209,4632.667
ADHD-midler,2005,60,M,Helseregion Vest,,
ADHD-midler,2005,65,F,Hele landet,0.337,12656.166
ADHD-midler,2005,65,F,Helseregion Midt-Norge,0.474,2669.333
ADHD-midler,2005,65,F,Helseregion Nord-Norge,,
ADHD-midler,2005,65,F,Helseregion Sør-Øst,0.382,7413.500
ADHD-midler,2005,65,F,Helseregion Vest,,
ADHD-midler,2005,65,M,Hele landet,0.197,6266.208
ADHD-midler,2005,65,M,Helseregion Midt-Norge,,
ADHD-midler,2005,65,M,Helseregion Nord-Norge,,
ADHD-midler,2005,65,M,Helseregion Sør-Øst,0.271,4916.575
ADHD-midler,2005,65,M,Helseregion Vest,,
ADHD-midler,2005,70,F,Hele landet,0.196,7359.083
ADHD-midler,2005,70,F,Helseregion Midt-Norge,,
ADHD-midler,2005,70,F,Helseregion Nord-Norge,,
ADHD-midler,2005,70,F,Helseregion Sør-Øst,0.219,6683.333
ADHD-midler,2005,70,F,Helseregion Vest,,
ADHD-midler,2005,70,M,Hele landet,0.157,3825.690
ADHD-midler,2005,70,M,Helseregion Midt-Norge,,
ADHD-midler,2005,70,M,Helseregion Nord-Norge,,
ADHD-midler,2005,70,M,Helseregion Sør-Øst,0.207,2735.690
ADHD-midler,2005,70,M,Helseregion Vest,,
ADHD-midler,2005,75,F,Hele landet,0.087,2733.333
ADHD-midler,2005,75,F,Helseregion Midt-Norge,,
ADHD-midler,2005,75,F,Helseregion Nord-Norge,0,0
ADHD-midler,2005,75,F,Helseregion Sør-Øst,0.133,1533.333
ADHD-midler,2005,75,F,Helseregion Vest,0,0
ADHD-midler,2005,75,M,Hele landet,0.162,5112.667
ADHD-midler,2005,75,M,Helseregion Midt-Norge,,
ADHD-midler,2005,75,M,Helseregion Nord-Norge,0,0
ADHD-midler,2005,75,M,Helseregion Sør-Øst,0.233,4379.333
ADHD-midler,2005,75,M,Helseregion Vest,,
ADHD-midler,2005,80,F,Hele landet,0.094,1627.333
ADHD-midler,2005,80,F,Helseregion Midt-Norge,0,0
ADHD-midler,2005,80,F,Helseregion Nord-Norge,0,0
ADHD-midler,2005,80,F,Helseregion Sør-Øst,0.166,1627.333
ADHD-midler,2005,80,F,Helseregion Vest,0,0
ADHD-midler,2005,80,M,Hele landet,0.216,3580.667
ADHD-midler,2005,80,M,Helseregion Midt-Norge,,
ADHD-midler,2005,80,M,Helseregion Nord-Norge,,
ADHD-midler,2005,80,M,Helseregion Sør-Øst,,
ADHD-midler,2005,80,M,Helseregion Vest,,
ADHD-midler,2005,85,F,Hele landet,,
ADHD-midler,2005,85,F,Helseregion Midt-Norge,0,0
ADHD-midler,2005,85,F,Helseregion Nord-Norge,0,0
ADHD-midler,2005,85,F,Helseregion Sør-Øst,0,0
ADHD-midler,2005,85,F,Helseregion Vest,,
ADHD-midler,2005,85,M,Hele landet,0.255,1703.333
ADHD-midler,2005,85,M,Helseregion Midt-Norge,0,0
ADHD-midler,2005,85,M,Helseregion Nord-Norge,0,0
ADHD-midler,2005,85,M,Helseregion Sør-Øst,,
ADHD-midler,2005,85,M,Helseregion Vest,,
ADHD-midler,2005,90,F,Hele landet,,
ADHD-midler,2005,90,F,Helseregion Midt-Norge,0,0
ADHD-midler,2005,90,F,Helseregion Nord-Norge,0,0
ADHD-midler,2005,90,F,Helseregion Sør-Øst,,
ADHD-midler,2005,90,F,Helseregion Vest,0,0
ADHD-midler,2005,90,M,Hele landet,,
ADHD-midler,2005,90,M,Helseregion Midt-Norge,0,0
ADHD-midler,2005,90,M,Helseregion Nord-Norge,0,0
ADHD-midler,2005,90,M,Helseregion Sør-Øst,,
ADHD-midler,2005,90,M,Helseregion Vest,0,0
ADHD-midler,2006,Alle,F,Hele landet,2.304,2028033
ADHD-midler,2006,Alle,F,Helseregion Midt-Norge,2.179,244693.766
ADHD-midler,2006,Alle,F,Helseregion Nord-Norge,2.504,186638.391
ADHD-midler,2006,Alle,F,Helseregion Sør-Øst,2.486,1276614.375
ADHD-midler,2006,Alle,F,Helseregion Vest,1.798,320086.469
ADHD-midler,2006,Alle,M,Hele landet,5.835,5369232
ADHD-midler,2006,Alle,M,Helseregion Midt-Norge,5.787,703820.688
ADHD-midler,2006,Alle,M,Helseregion Nord-Norge,6.228,541050.188
ADHD-midler,2006,Alle,M,Helseregion Sør-Øst,6.111,3207677.500
ADHD-midler,2006,Alle,M,Helseregion Vest,4.949,916683.625
ADHD-midler,2006,0,F,Hele landet,0.063,612.667
ADHD-midler,2006,0,F,Helseregion Midt-Norge,0,0
ADHD-midler,2006,0,F,Helseregion Nord-Norge,,
ADHD-midler,2006,0,F,Helseregion Sør-Øst,0.072,429.333
ADHD-midler,2006,0,F,Helseregion Vest,,
ADHD-midler,2006,0,M,Hele landet,0.121,2324.863
ADHD-midler,2006,0,M,Helseregion Midt-Norge,,
ADHD-midler,2006,0,M,Helseregion Nord-Norge,,
ADHD-midler,2006,0,M,Helseregion Sør-Øst,0.151,1780.596
ADHD-midler,2006,0,M,Helseregion Vest,,
ADHD-midler,2006,5,F,Hele landet,2.739,120835.688
ADHD-midler,2006,5,F,Helseregion Midt-Norge,2.886,14422.278
ADHD-midler,2006,5,F,Helseregion Nord-Norge,3.086,12594.546
ADHD-midler,2006,5,F,Helseregion Sør-Øst,2.802,68882.719
